frame,id,x,y,z,brightness
2,73944,5.4206,40.7184,0.6213,800.0000
3,73944,5.4206,40.7184,0.6213,2018.0000
4,73944,5.4206,40.7184,0.6213,2036.0000
5,73944,5.4206,40.7184,0.6213,1750.0000
18,133444,58.6590,28.5965,0.4341,1160.0000
19,133444,58.6590,28.5965,0.4341,743.0000
21,110648,43.4535,26.4536,0.5102,1964.0000
22,110648,43.4535,26.4536,0.5102,1955.0000
23,110648,43.4535,26.4536,0.5102,2084.0000
23,132051,58.6110,15.1154,0.4014,196.0000
24,110648,43.4535,26.4536,0.5102,2041.0000
25,110648,43.4535,26.4536,0.5102,211.0000
36,130457,57.7223,27.6885,0.6751,1689.0000
37,130457,57.7223,27.6885,0.6751,2130.0000
38,130457,57.7223,27.6885,0.6751,1315.0000
40,93985,28.0104,36.0141,0.5917,1863.0000
40,108502,40.6729,22.8358,0.4785,1005.0000
41,93985,28.0104,36.0141,0.5917,2020.0000
42,93985,28.0104,36.0141,0.5917,1923.0000
43,93985,28.0104,36.0141,0.5917,1179.0000
47,114750,47.0748,14.3650,0.7636,261.0000
54,103902,37.1652,16.5441,0.7150,472.0000
55,103902,37.1652,16.5441,0.7150,330.0000
56,82836,14.6132,11.0364,0.7079,1010.0000
57,82836,14.6132,11.0364,0.7079,2054.0000
57,105084,37.7168,18.8042,0.4541,1023.0000
58,82836,14.6132,11.0364,0.7079,2032.0000
58,105084,37.7168,18.8042,0.4541,2014.0000
58,115511,47.2153,54.0969,0.3752,1511.0000
59,71561,3.6421,27.0133,0.9815,1033.0000
59,82836,14.6132,11.0364,0.7079,2060.0000
59,101247,33.6733,56.3057,0.3974,594.0000
59,105084,37.7168,18.8042,0.4541,2027.0000
60,71561,3.6421,27.0133,0.9815,1072.0000
60,82836,14.6132,11.0364,0.7079,1998.0000
60,101247,33.6733,56.3057,0.3974,1971.0000
60,105084,37.7168,18.8042,0.4541,1335.0000
61,82836,14.6132,11.0364,0.7079,1927.0000
61,101247,33.6733,56.3057,0.3974,2029.0000
62,82836,14.6132,11.0364,0.7079,2013.0000
62,101247,33.6733,56.3057,0.3974,1936.0000
62,133959,59.0437,59.4671,0.6976,505.0000
63,82836,14.6132,11.0364,0.7079,57.0000
63,101247,33.6733,56.3057,0.3974,1984.0000
63,108181,41.2583,13.3376,0.7451,1422.0000
63,112658,44.5435,19.5627,0.7001,394.0000
63,114274,46.3164,30.5822,1.0068,1482.0000
63,117192,48.7483,23.1542,0.6668,384.0000
63,128143,56.9770,60.4110,0.3103,1944.0000
63,133959,59.0437,59.4671,0.6976,2027.0000
64,89507,21.5503,44.8210,0.1872,1177.0000
64,101247,33.6733,56.3057,0.3974,1882.0000
64,108181,41.2583,13.3376,0.7451,1685.0000
64,114274,46.3164,30.5822,1.0068,2006.0000
64,117192,48.7483,23.1542,0.6668,2071.0000
64,117755,48.8520,55.5616,0.4179,222.0000
64,128143,56.9770,60.4110,0.3103,1952.0000
64,133959,59.0437,59.4671,0.6976,1974.0000
65,89507,21.5503,44.8210,0.1872,1384.0000
65,101247,33.6733,56.3057,0.3974,252.0000
65,112055,44.3185,30.7243,1.0124,829.0000
65,114274,46.3164,30.5822,1.0068,1959.0000
65,117192,48.7483,23.1542,0.6668,2055.0000
65,117755,48.8520,55.5616,0.4179,1999.0000
65,128143,56.9770,60.4110,0.3103,1952.0000
65,133959,59.0437,59.4671,0.6976,1971.0000
66,112055,44.3185,30.7243,1.0124,1306.0000
66,114274,46.3164,30.5822,1.0068,1981.0000
66,117192,48.7483,23.1542,0.6668,2019.0000
